,timestamp,tweet_text,username,all_hashtags,followers_count
17,2021-04-24 02:00:17,"b'\xf0\x9f\x93\xa3 New Podcast! ""New Episode KWWK-DB DJ GATES APRIL 23 2021 #kwwkdb.live #kwwkdbradio #nowplaying"" on @Spreaker #amazonalexa #blendmonstaz #djgates #goinoffmixshow #iheart #itunespodcast #kwwkdb_live #kwwkdbradio #nowplaying #readyamindremix #spotify https://t.co/yKOOgkZMTe'",b'KWWKRADIO',"['kwwkdb', 'kwwkdbradio', 'nowplaying', 'amazonalexa', 'blendmonstaz', 'djgates', 'goinoffmixshow', 'iheart', 'itunespodcast', 'kwwkdb_live', 'kwwkdbradio', 'nowplaying', 'readyamindremix', 'spotify']",3288
18,2021-04-24 00:46:58,"b""You're missin' out on all things Alexa peppered with fun insights from their guests. No other podcast out there like this one!  #NothingOrdinaryHere #VoiceSpark #AmazonAlexa #FunPodcast https://t.co/0AedYEANwW""",b'StudioCarlton',"['NothingOrdinaryHere', 'VoiceSpark', 'AmazonAlexa', 'FunPodcast']",225
19,2021-04-24 00:03:58,"b'All things are the same, familiar in enterprise, momentary in endurance, coarse in substance. All things now are as they were in the day of those whom we have buried. -Marcus Aurelius  #amazonalexa #Anger #antique #business #Discipline #GrowthMindset  https://t.co/epOI2r8t5K https://t.co/23GJAB0gNJ'",b'EveryDayStoics',"['amazonalexa', 'Anger', 'antique', 'business', 'Discipline', 'GrowthMindset']",251
20,2021-04-23 16:03:17,"b""Love #80s Music!   It's #80s All The way to 12pm Sunday  On all #80s Weekend Now On #ReverseFMUK   @MarkReverseFMUK   #Decades #Radio 24/7  #80smusic #ClassicHits #Greatmusic  https://t.co/9tHlVXiDHf  \xe2\x80\xa6  #AmazonAlexa We r on   Amazon Alexa Ask her to play ReverseFMUK from tunein https://t.co/FQnf8ZXhh3""",b'ReverseFMUK',"['80s', '80s', '80s', 'ReverseFMUK', 'Decades', 'Radio', '80smusic', 'ClassicHits', 'Greatmusic', 'AmazonAlexa']",1166
21,2021-04-23 15:28:19,b'How to Calculate Conversion Rate? https://t.co/mFRI4PQTz3 #conversionrates #blog #website #Calculate #Howto #AmazonAlexa #statistics https://t.co/joMphNs25A',b'ProfiletreeCV',"['conversionrates', 'blog', 'website', 'Calculate', 'Howto', 'AmazonAlexa', 'statistics']",295
22,2021-04-23 14:46:57,"b'Alexa, To be, or not to be | Amazon rolls out new Shakespearean commands.  #AmazonAlexa #Alexa #VoiceFirst  https://t.co/hZ99o9Sfr5 https://t.co/XK6NS3N7Eh'",b'PoptaleSocial',"['AmazonAlexa', 'Alexa', 'VoiceFirst']",8
23,2021-04-23 14:22:42,b'Some news. \xf0\x9f\x87\xae\xf0\x9f\x87\xb3   #VoiceFirst #AmazonAlexa #AmazonEcho #AlexaSkill https://t.co/bkFNyqW7mW',b'SarahAndrewWils',"['VoiceFirst', 'AmazonAlexa', 'AmazonEcho', 'AlexaSkill']",1334
24,2021-04-23 14:12:19,b'Looking for #COVID19 vaccine centres? #AmazonAlexa will help you find it  @AmazonAlexaIN #COVID19India #OxygenShortage #OxygenCrisis   https://t.co/rMTLbdLxx0',b'ZeeNewsEnglish',"['COVID19', 'AmazonAlexa', 'COVID19India', 'OxygenShortage', 'OxygenCrisis']",5413731
25,2021-04-23 11:24:42,b'#Amazon Device Event 2019 Breakdown https://t.co/atPZMDGow5 #amazonalexa #iot',b'NerdSuburban',"['Amazon', 'amazonalexa', 'iot']",114
26,2021-04-23 10:36:19,b'#AmazonAlexa can also be asked about #Covid19 testing centres. .@AmazonAlexaIN  Know more details here.  https://t.co/jiez7558KE',b'HTTech',"['AmazonAlexa', 'Covid19']",11442
